Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
SavorEat,"SavorEat develops digitally produced plant-based meat alternatives with the taste, texture, and experience of real meat using a smart robot. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,"Pea,Chickpea,Potato",Africa/Middle East,Israel,,Rehovot,https://savoreat.com/,2018,"Racheli Vizman, Ido Braslavsky, Oded Shoseyov",SavorEat-Logo.png (https://dl.airtable.com/.attachments/0c0e8be96b9fbac4bdbaf8ec7b877ab2/c0fc3c71/SavorEat-Logo.png)
Oterra,World's leading natural color supplier with expertise in plant-based formulations.,Plant-based,"Ingredients and inputs,Other",Ingredient optimization,,,"Other,Beetroot ",Global,Denmark,,,www.oterra.com,1854,Christian Hansen,Oterra_TM_logo_CMYK.pdf (https://dl.airtable.com/.attachments/34d62f9edd9f084a543f27c372cc9fbc/4fee0e22/Oterra_TM_logo_CMYK.pdf)
Koralo,"EU-based company that produces an all natural, delicious and nutritious vegan fish alternative",Biomass fermentation,Seafood,End product formulation and manufacturing,,,,Europe,Germany,,Munich,http://koralo-foods.com,2021,"Sina Albanese, Harshitha Badrinath, Karen Silva, Marisa Albanese, Guido Albanese",Watermark Vector.png (https://dl.airtable.com/.attachments/3854b64c3151b2aeedde1c4defc8e9ca/22f447e2/WatermarkVector.png)
Unnico Food LLC,"Slow fermentation plant-based yogurt, spreadable cheeses, and sweet cold desserts in an earth-friendly clay pot.",Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Milk,Other",Beef/veal,"Oat,Coconut,Tapioca",U.S. and Canada,United States,New York,Mamaroneck,www.unnicofood.com,2020,Nicolas Riggio,unnico logo creams white.png (https://dl.airtable.com/.attachments/7ad666b6b7b8bdceb80951149c2d573c/2d5c2572/unnicologocreamswhite.png)
Luna,Contract development and manufacturing company specialising in innovative 3D materials and scaffolds with capabilities in R&D through to GLP and GMP development and manufacturing formulations,Cultivated,"Meat,Seafood,Ingredients and inputs,Contract manufacturing/processing","Scaffolding and structure,Bioprocess design,Ingredient optimization,End product formulation and manufacturing","Ground meat,Ingredients,Other meat",,,Global,United Kingdom,,London,https://www.luna-tx.com/,2020,Richard Day,Lunatherapeutics_Company_notext_LinkedIn.png (https://dl.airtable.com/.attachments/eff6cb0fcd904ad65690bf646eab2ccd/5673d0c5/Lunatherapeutics_Company_notext_LinkedIn.png)
Zero Acre Farms,U.S.-based company that creates alternative cooking oil produced by microorganisms and fermentation,Precision fermentation,Other,End product formulation and manufacturing,,,,U.S. and Canada,United States,California,San Mateo,https://www.zeroacrefarms.com/,2020,Jeff Nobbs,zeroacrefarms.jpg (https://dl.airtable.com/.attachments/18a223f805c380720fb425fa271af878/c097dd21/zeroacrefarms.jpg)
Ambi Real Food,"Brazil-based company producing cultured meat products, focusing on beef",Cultivated,Meat,End product formulation and manufacturing,,Beef/veal,,Latin America,Brazil,,Porto Alegre,https://ambirealfood.com/,2021,,ambi real food logo.png (https://dl.airtable.com/.attachments/2447d9bf4b73db21ba78f4d863c66108/4423c611/ambirealfoodlogo.png)
Nutropy,France-based company that produce milk proteins to develop premium cheeses,Precision fermentation,Dairy,,Cheese,,,,France,,,www.nutropy.com,2021,,Nutropy petit moyen.png (https://dl.airtable.com/.attachments/bd4f95444f45531ce2da67e71fe7ae48/23bcd3b6/Nutropypetitmoyen.png)
Petaluma,"Petaluma produces minimally processed, organic plant-based pet food formulated by veterinarians.",Plant-based,Meat,"End product formulation and manufacturing,Ingredient optimization",Pet food,,"Potato,Yeast,Pea,Barley,Chickpea,Peanut,Flaxseed,Algae",U.S. and Canada,United States,California,Oakland,www.feedpetaluma.com,2019,"Caroline Buck, Garrett Wymore",petaluma - Logotype Gray - cropped.png (https://dl.airtable.com/.attachments/b476c613c6a85366c367cfc86a563c5a/0510625b/petaluma-LogotypeGray-cropped.png)
Bio-Revival LLC,U.S.-based company that produces a variety of pearls and plant-based vegan caviar ,Plant-based,Other,End product formulation and manufacturing,,,,U.S. and Canada,United States,Florida,Jupiter,https://bio-revival.com/products/caviar,2015,,biorevival.png (https://dl.airtable.com/.attachments/e8c919b7a34b2ad0aab452e8fa83c6fc/36f8894d/biorevival.png)
Edge Foods,U.S.-based company that produces cultivated meat products using innovative biotechnologies. ,Cultivated,"Meat,Bioprocessing infrastructure and equipment","Bioprocess design,End product formulation and manufacturing","Ground meat,Other meat,Whole muscle meat","Beef/veal,Pork,Chicken",,U.S. and Canada,United States,New York,New York,www.edgefoods.co,2022,Manuel Tamargo and Bianca Drevensek,EA05C449-02F5-4980-A02A-0573CC5CAD15.png (https://dl.airtable.com/.attachments/66b32e595128715a16c555f702767a16/f07917ca/EA05C449-02F5-4980-A02A-0573CC5CAD15.png)
Meat.The End,Israel-based company developing production techniques and ingredients to boost the texture of meat alternatives,"Plant-based,Cultivated",Meat,"Ingredient optimization,End product formulation and manufacturing","Whole muscle meat,Ground meat","Chicken,Beef/veal,Fish","Soy,Pea,Chickpea","Global,Africa/Middle East",Israel,,Tel Aviv,www.meattheend.tech,2020,Dr. Yishai Mishor  Moshe Nesher  David Bensal   Dr. Benjamin Striem ,MTE logo no BG.png (https://dl.airtable.com/.attachments/637683a959a8f120e56b279c3d115aea/829b9864/MTElogonoBG.png)
Bedda,Germany-based company that produces plant-based dairies from coconut and oat,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,"Coconut,Oat",Europe,Germany,,Hamburg,https://bedda-world.com,,"Inga Bruns, Christian Vagedes",Bedda Logo.png (https://dl.airtable.com/.attachments/7bebcd5fcffdb5936c0ea8857de0cb9d/83969fb7/BeddaLogo.png)
CheWOW GMBH,"Germany-based company that produces plant-based gyros, nuggets, etc.",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Beef/veal,Fish,Chicken",Beans,Europe,Germany,,Bremen,https://www.chewow.de,2018,"Marlo Kockerols, Federico Krader",CheWOW Logo.jpeg (https://dl.airtable.com/.attachments/d6e35c727d0716742069208912b27990/27d901b0/CheWOWLogo.jpeg)
Greenforce Future Food AG,"Germany-based company that produces plant-based meat, eggs, and dairies ",Plant-based,"Meat,Dairy,Eggs,Seafood",End product formulation and manufacturing,"Ground meat,Milk,Eggs","Beef/veal,Pork,Fish","Pea,Beans",Europe,Germany,,Munich,https://www.greenforce.com/,2020,"Thomas Isermann, Hannes Schmitz",Greenforce Logo.png (https://dl.airtable.com/.attachments/7ab85b318f6cb44f837f897ac181a14a/82b21f37/GreenforceLogo.png)
Arkeon Biotechnologies,Austria-based company using gas fermentation to produce protein. ,Biomass fermentation,"Ingredients and inputs,Meat",,,,,Europe,Austria,,Vienna,https://arkeon.bio/,2021,"Gregor Tegl, Günther Bochmann, Simon Rittmann ",
Blue Ridge Bantam ,"U.S.-based company that produces hybrid alternative poultry products, especially turkey, by integrating cultivated fat cells that mimic the taste and texture of animal fat cells into plant proteins ","Cultivated,Plant-based",Meat,End product formulation and manufacturing,Ground meat,"Chicken,Other",,U.S. and Canada,United States,North Carolina,Durham,https://www.blueridgebantam.com,2020,Carson Bone,Header-logo-1.png (https://dl.airtable.com/.attachments/0430f917ca94bbbb5ac4616282c67321/37bf8e7a/Header-logo-1.png)
Aqua Cultured Foods,U.S.-based company that produces whole-muscle cut sushi-quality seafood alternatives using microbial fermentation ,Biomass fermentation,Seafood,End product formulation and manufacturing,,,,U.S. and Canada,United States,Illinois,Chicago,https://www.aquaculturedfoods.com/,2021,"Brittany Chibe, Anne Palermo",Aquacultured+Logo.png (https://dl.airtable.com/.attachments/4054658a5bd3dd1a0e102d3a39caf9e4/5e0019c5/AquaculturedLogo.png)
Mergulo,"U.S. company that produces plant-based butter under the line ""CASHEW NUT-BUT*ERS""",Plant-based,Dairy,End product formulation and manufacturing,,,,Europe,United Kingdom,,Chadshunt,https://www.mergulo.com/,2018,Mairi Hilleary,Logos_Megulo_Logo_Gold_Megulo_Logo_White+copy.png (https://dl.airtable.com/.attachments/1dd51f20d41ce56a8575a7b5e7680c9a/89402c17/Logos_Megulo_Logo_Gold_Megulo_Logo_Whitecopy.png)
Talmond Foods,Ghana-based company that produces plant-based milk using tropical almonds,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Almond,Africa/Middle East,Ghana,,Accra,https://www.talmondfoods.com/,2019,Ashiaki Tei,1562680598789.jpg (https://dl.airtable.com/.attachments/e49389e5676442c18718eae853f193ae/202a031d/1562680598789.jpg)
Renegade Foods,"U.S.-based company that produces plant-based charcuterie kits and salami, including toscana, chorizo, and soppressata",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Pork,"Wheat,Soy",U.S. and Canada,United States,California,Berkeley,https://renegadefoods.com/,2019,"Iona Campbell, Kalie Marder ",Renegade_Foods_-_Update_Logo_500x.png (https://dl.airtable.com/.attachments/19b71e16a9508e37d707ef24efe8fa9c/a329d42c/Renegade_Foods_-_Update_Logo_500x.png)
Keen4Greens,German company that produces chicken alternatives made from natural ingredients such as plants and mycelium ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Chicken,Wheat,Europe,Germany,,Hamburg,https://keen4greens.com,2019,Daniel MacGowan,keen4greens.png (https://dl.airtable.com/.attachments/d9456e449ae63c67a3ae6c1d4debed96/95eae1e6/keen4greens.png)
Modena Funghi ,"Italian-based, FDA registered company that produces and commercializes a variety of plant-based burgers ",Plant-based,"Meat,Ingredients and inputs","Crop development,End product formulation and manufacturing","Ground meat,Ingredients",,"Mushrooms,Pea,Lentils,White bean,Beans,Pumpkin,Blend",Global,Italy,,"Cavezzo, Modena",https://www.modenafunghi.it/en_GB/,2015,Dr. Giulia Rinaldi. Dr. Marco Righini  ,Modena Funghi Logo.jpg (https://dl.airtable.com/.attachments/812dd94facfdaa1728b50b3cebe2215d/5145719f/ModenaFunghiLogo.jpg)
milkien,Producer of plant based milk products ,Plant-based,"Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing","End product formulation and manufacturing,Ingredient optimization","Milk,Ingredients",,"Pea,Almond,Oat,Coconut",Europe,Turkey,,İstanbul,milkien.com,2018,Turker Yasin,yeni logo_kare_beyaz.png (https://dl.airtable.com/.attachments/b448e45b1321f836f605bf43ce3599fa/f073ed48/yenilogo_kare_beyaz.png)
Eden Bio,Biotech start up using machine learning to optimise precision fermentation yields. ,"Fermentation-derived,Precision fermentation",Other,Host strain development,,,,Europe,United Kingdom,,London,https://eden.bio/#solutions,2021,Dr Chris Reynolds,Eden Bio logo.png (https://dl.airtable.com/.attachments/ba1c29bcba81b2633fddf69e2c5ac28b/42ecf5ce/EdenBiologo.png)
OAT NATURE,Swiss based company that produces plant-based (oat based) flavoured milk drinks with a unique marketing concept based on a collaboration with an international celebrity ,Plant-based,Dairy,Crop development,"Milk,Other dairy",Beef/veal,Oat,Europe,Switzerland,,Küsnacht,in construction,2022,Philippe Guldin / Stefan Dietenmeier,
the REV,Polish start up that designs and produces vegan dairy,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Oat,Europe,Poland,,Warsaw,www.rev.investments,2022,Anna Spurek and dr. Marcin Anaszewicz,the_rev_logo-09.png (https://dl.airtable.com/.attachments/7800f502bcc21d4cd219b8b168d504ef/2c9df1af/the_rev_logo-09.png)
Bosque Foods,U.S.-based company producing minimally processed whole-cut meat and fish alternatives grown naturally from fungal mycelium ,Traditional fermentation,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,"Chicken,Pork,Fish",Mycelium,"Europe,U.S. and Canada",United States,New York,New York City,https://www.bosquefoods.com,2020,Isabella Iglesias-Musachio,Bosque-Logo-4.png (https://dl.airtable.com/.attachments/30970c39ac62a8e3e6a6e1a43a29618f/b3a50c87/Bosque-Logo-4.png)
Camega3,Company producing Camelina oilseeds and extract and omega-3 oil and protein.,Plant-based,"Other,Bioprocessing infrastructure and equipment,Ingredients and inputs,Contract manufacturing/processing","Bioprocess design,End product formulation and manufacturing,Crop development",,,Other,"Asia Pacific,Europe",Singapore,,Singapore,https://www.camega3.com,2018,"Martin J Kleinelanghorst, William L Nolten, Garry A Prior, Loi Kok Cheng",Camega3 Oil logo.jpg (https://dl.airtable.com/.attachments/95ae684c935c68f34a98ad72451256b6/c1c9f204/Camega3Oillogo.jpg)
"Fifth Taste Foods, LLC","US-Based Company, making healthy, plant based eating craveable for everyone through a global flavor platform and recently launched plant based meat line called Harvest Shreds. ",Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,"Beef/veal,Pork,Chicken","Soy,Wheat",,United States,Missouri,St Louis,"Fifth Taste Foods, LLC",2019,Mark Engel,HS Logo_FIN_BLK_stacked.png (https://dl.airtable.com/.attachments/1e6bd68b3b4b6fda2a1fb8db1267bc92/3d86342c/HSLogo_FIN_BLK_stacked.png)
Euro Company S.P.A B CORP - Casa del Fermentino,Italian company that produces organic plant-based dairy alternative made through traditional fermentation of nuts.,"Plant-based,Traditional fermentation",Dairy,End product formulation and manufacturing,Cheese,,,Europe,Italy,,Godo di Russi (Ravenna),https://www.casadelfermentino.com/en/,1979,Zani family,casa-del-fermentino_logo-2c120f51.png (https://dl.airtable.com/.attachments/34ba3e5d6afe5b3deef7d47f4cc51cca/67e15822/casa-del-fermentino_logo-2c120f51.png)
Good Dog Food,"UK-based start-up created cultivated pet food, for healthy pets and a healthy planet",Cultivated,Other,End product formulation and manufacturing,,,,Europe,United Kingdom,,London,www.GoodDogFood.com,2022,,GDF - Logo - Primary.png (https://dl.airtable.com/.attachments/9a7c5369a4d36d3635b510fee13bddfc/48bfd803/GDF-Logo-Primary.png)
Quest Meat,"UK-based company focused on production and scale up of beef, as well as the development of adjunctive technologies to enhance process efficiency.",Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment","Bioprocess design,Cell culture media,End product formulation and manufacturing,Cell line development",Ground meat,Beef/veal,,Europe,United Kingdom,,Birmingham,www.questmeat.com,2021,"Ivan Wall, Petra Hanga, Michael Hunt, John Sinden, Russell Kerr",Screenshot 2022-04-04 at 23.44.05.png (https://dl.airtable.com/.attachments/b3ac8c85fbb7eb7c606d8d0c71ee448b/de588ff6/Screenshot2022-04-04at23.44.05.png)
Miruku,New Zealand-based startup using molecular farming to create animal-free proteins. ,Plant molecular farming,Dairy,,,,,Asia Pacific,New Zealand,,,https://miruku.com/,2020,"Amos Palfreyman, Ira Bing, Harjinder Singh",
Meat Tomorrow ,Denmark-based startup that specializes in stem cell line development from livestock animals ,Cultivated,Meat,Cell line development,Other meat,"Pork,Beef/veal",,Europe,Denmark,,Copenhagen,meattomorrow.com,2021,David Valbjørn & Matias Ankjær ,MEAT.png (https://dl.airtable.com/.attachments/18f83d96829893e79173c461842e60fd/79f07582/MEAT.png)
Adamo Foods,"UK based company using mycelium to create whole cut meat, like steak, from mycelium. ",Biomass fermentation,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,Mycelium,Europe,United Kingdom,,London,https://www.adamofoods.com/,,,
Vegano Foods LLC,Only Plant Based! creates a range of  plant-based mayos and sauces.,Plant-based,Dairy,Ingredient optimization,Other dairy,"Chicken,Beef/veal",,Global,United States,michigan,Birmingham,www.onlyplantbasedfoods.com,2020,"david valade, george vutetakis",logoopbwhitegreen.jpg (https://dl.airtable.com/.attachments/08614811513a29f6565df2cc7bcffd78/a3de836d/logoopbwhitegreen.jpg)
Onami,Mouth-watering Algae & Plant - based seafood for ALL engaged gourmets!,Plant-based,Seafood,,,,,Europe,France,,Rennes,https://www.onamifoods.com/,2020,Charles FOUQUET,thumbnail-xFH0vvksz0k55tZWdE19.jpeg (https://dl.airtable.com/.attachments/48d2611d73a3e6dc52c2778e19cd0ed3/48848211/thumbnail-xFH0vvksz0k55tZWdE19.jpeg)
Bon Vivant,"French biotechnology company that uses precision fermentation to produce real dairy products, accessible to everyone",Precision fermentation,Dairy,,"Milk,Cheese,Other dairy",Other,,Europe,France,,Lyon,https://bonvivant-food.com/en/,2021,"Stéphane Mac Millan Gay, Helene Briand",BonVivant-Logo-Light.png (https://dl.airtable.com/.attachments/7b402cb5d467eb0d0e5ddb1d9a235dc2/c9e7bf60/BonVivant-Logo-Light.png)
Mo'rice,French start up that created a broad choice of delicious rice-based alternatives to yogurts and creams,Plant-based,Dairy,,"Milk,Other dairy",,Rice,Europe,France,,Marseille,https://www.moricedesserts.com/,2017,"Damien MEYRIGNAC, Jean Christophe BERNARD",Sans titre-19.webp (https://dl.airtable.com/.attachments/39b6574eaecffd9fc7f55f9e8fc42507/8caa2e43/Sanstitre-19.webp)
Kokiriki,"Vegan plant-based cold meats, that look and taste just like a range of cold cuts.",Plant-based,"Meat,Seafood",,"Ground meat,Whole muscle meat","Pork,Chicken,Beef/veal,Fish,Tuna","Pea,Soy",Europe,France,,Pontchâteau,https://www.kokiriki.com/en/kokiriki-plant-based-food/,2018,Thibaut Jouault,Logo-KOKIRIKI-alternative-vegan-food.png (https://dl.airtable.com/.attachments/407e1118200f314b46654db823299089/f59ab455/Logo-KOKIRIKI-alternative-vegan-food.png)
Magic Beans,France-based company that produces plant-based meat from pea protein,Plant-based,Meat,,Ground meat,Beef/veal,Pea,Europe,France,,Vaulx-en-Velin,https://www.eatmagicbean.com/,2018,Basak Yilin COLAK\,5e7caaabe28abca56b550ae1_LOGO.svg (https://dl.airtable.com/.attachments/b0532ee209cd03dda116a51ae86ff35a/9ab526cf/5e7caaabe28abca56b550ae1_LOGO.svg)
Pleurette,French company producing plant-based products from organic oyster mushroom heart,Plant-based,Other,,,,,Europe,France,,Lille,https://pleurette.fr/,2016,"Gabrielle Radoux, Jürgen Engerisser",Logo_Pleurette_very_small_png.webp (https://dl.airtable.com/.attachments/82707fa5a630034adb482fa612d877f0/a079bc47/Logo_Pleurette_very_small_png.webp)
Kindness,Plant-based food technology startup offering formulation and processing knowhow.,Plant-based,"Meat,Seafood,Other",End product formulation and manufacturing,"Whole muscle meat,Ground meat,Other meat","Beef/veal,Chicken,Pork,Duck,Mutton/lamb,Fish,Tuna","Soy,Wheat,Mushrooms,Pea",Global,Thailand,,Bangkok,bykindness.com,2021,"Mike Yang, Mark Huang, Jon Lai, Mattias Wallin, Doris Kuo, Cindy Yang, SJ Lin",kindness_logo_white_round KINDNESS.png (https://dl.airtable.com/.attachments/7c76a48769c8815546efc51ed1d3b83a/ab34bdd1/kindness_logo_white_roundKINDNESS.png)
DellaNatura ,"Peru-based company that produces plant-based meat patties and nuggets, including hamburgers",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",Soy,Latin America,Peru,,Lima,https://www.dellanatura-peru.com/nosotros,2009,,95c690_55a7514c691a44269c942df891d73d1e.png (https://dl.airtable.com/.attachments/3737d18003a99af0655109e7c7826c74/0c3bd0c2/95c690_55a7514c691a44269c942df891d73d1e.png)
Peruvian Veef,"Peru-based company that produces plant-based meat products, including nuggets, hamburgers, ham, and seitan ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",Soy,Latin America,Peru,,,https://peruvianveef.com/,,,LOGO-CENTRADO-HOJA-VERDE-LETRAS-NEGRAS-FONDO-BLOQUE-1000-x1000-150x150.png (https://dl.airtable.com/.attachments/6892f9ca253d714dd6a908a398984cb9/7acdce30/LOGO-CENTRADO-HOJA-VERDE-LETRAS-NEGRAS-FONDO-BLOQUE-1000-x1000-150x150.png)
Marciano Vegano,"Peru-based company that produces plant-based dairy, cheese, and chicken nuggets",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Cheese,Ground meat",Chicken,Soy,Latin America,Peru,,Lima,http://www.marcianovegano.com/index.php/,,,LOG_MARCIAN_-LIMON-120x100.png (https://dl.airtable.com/.attachments/bb08107e1bbcaa6511cccb2f28b3ff2b/6345cd3c/LOG_MARCIAN_-LIMON-120x100.png)
Bhakti Natura ,"Peru-based company that produces a variety of vegan products, including burgers and chicken made from soy, granola bars, panels, and other food products ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",Soy,Latin America,Peru,,Lima,https://veganmarket.pe/collections/sustitutos-a-la-carne?page=2 & https://www.plazavea.com.pe/bhakti-natura & https://bethani.pe/brand/1-bhakti-natura,,,images.jpeg (https://dl.airtable.com/.attachments/015dfeacad2bea229e5cf1fcdc088e23/d4a6cefc/images.jpeg)
Les Tres Gunas,"Peru-based company producing plant-based dairy, including vegan cheeses butters, and yogurts",Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,Cashew,Latin America,Peru,,Lima,https://lastresgunas.com.pe/,2017,Thais Privette,lestresgunas.png (https://dl.airtable.com/.attachments/c8b462d80b8f47503aaaa894eb34f913/4783cbf0/lestresgunas.png)
La Purita,"Peru-based company that produces a range of plant-based foods including granola, chips, chocolate, peanut butters and a few plant-based dairy alternative products including almond & cashew yogurt and cream products",Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Almond,Cashew",Latin America,Peru,,Lima,https://veganmarket.pe/collections/postres,2014,,lapurita.jpeg (https://dl.airtable.com/.attachments/923dbdc07122e7b92f9719bfe7d8fa95/c3cca77e/lapurita.jpeg)
Vegancan,Peru-based company that produces plant-based dog food ,Plant-based,Meat,End product formulation and manufacturing,Pet food,,,Latin America,Peru,,Lima,https://www.facebook.com/vegancan/?ref=page_internal,2014,,vegancan.jpeg (https://dl.airtable.com/.attachments/078eb095969acaa3d6f2268f6a6be658/9d2b93ca/vegancan.jpeg)
Ally Embutidos ,"Peru-based factory that produces 100% organic products, including a variety of plant-based snacks and plant-based patties, sausages, and hot dogs ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken,Pork",Soy,Latin America,Peru,,Lima,https://www.facebook.com/ally.embutidos/?ref=page_internal,,,all.png (https://dl.airtable.com/.attachments/2f66ff2bd51b6fab488d1a081c16c5d2/42c1969a/all.png)
Soy Vida,Peru-based company produces soy milk,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,Latin America,Peru,,,https://www.abillion.com/products/soy-vida-bebida-de-soya-10050338,,,
FKF Vegan Products,"Peru-based company that produces a variety of plant-based meats, including sausages, meatballs, ground beef, salami, sausage, and ham and cheese",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken,Pork","Pea,Wheat",Latin America,Peru,,Tacna,https://fkf.pe/en/products/,,,fkf.jpeg (https://dl.airtable.com/.attachments/8be8ffaaa13ad9ab50e0c844fdc5fbe1/e2272992/fkf.jpeg)
ECOPACIFIC,"Ecuador-based company that produces a variety of plant-based products, including patties, almond milk, cheese, butter, and ice cream ",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Milk,Cheese,Other dairy,Ground meat","Beef/veal,Fish",Almond,Latin America,Ecuador,,,https://ecopacific.com.ec/ecolove/,,,ecopacific2020.png (https://dl.airtable.com/.attachments/44b80be010ee535dc93793681a812d89/fb56291f/ecopacific2020.png)
Cordon Green,"Ecuador-based company that produces plant-based meat and cheeses, including burgers, ham, and chorizo ",Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Ground meat,Cheese","Beef/veal,Pork",,Latin America,Ecuador,,,https://cordon-green.com/categoria-producto/vegetable-protein-meat/,,,cordongreen.png (https://dl.airtable.com/.attachments/85e35a067b13d1e8aa075c5e1a878fc9/89befe8e/cordongreen.png)
Nueva Vida,"Ecuador-based company that produces plant-based meat products, including sausages ",Plant-based,Meat,End product formulation and manufacturing,Other meat,"Pork,Beef/veal",Soy,"Latin America,Global",Ecuador,,Guayaquil, https://www.ecuadortimes.net/increase-demand-for-vegetarian-and-vegan-products-in-ecuador-brands-prepare-new-proposals/,1996,Vanessa Bermúdez,
Takay Blends ,Ecuador-based startup upcycling would-be wasted tropical fruit by turning it into vegan smoothies and ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Banana,Latin America,Ecuador,,,https://www.takayblends.com/,2016,Alejandro Escobar,takayblends.jpeg (https://dl.airtable.com/.attachments/657d02c2c95f2ebb289c41e4a77ed8d2/fe07fa9f/takayblends.jpeg)
Vgano,Ecuador-based company that produces plant-based meat and mozzarella cheese,Plant-based,"Meat,Dairy",End product formulation and manufacturing,"Ground meat,Cheese",Beef/veal,Quinoa,Latin America,Ecuador,,,https://vgano.com/nuestros-productos/,,,
Vaquets,Argentina-based company that produces plant-based cheeses using coconut and almond milk,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Coconut,Almond",Latin America,Argentina,,Las Heras,https://www.facebook.com/vaquets/,2017,,vaquets.jpeg (https://dl.airtable.com/.attachments/943ab8c152f7c8d8df8f02aecc49b91b/286e8edf/vaquets.jpeg)
Nutenergia,"Venezuela-based company that manufactures and distributes products based on nuts, including cashew milk and cashew butter ",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Cashew,Latin America,Venezuela,,Caracas,https://www.facebook.com/nutenergia/?ref=page_internal,2016,,83286138_1048737752128840_6386879010697117696_n.jpeg (https://dl.airtable.com/.attachments/a33d4ca3a98b19e509b88b2340f0329c/83227988/83286138_1048737752128840_6386879010697117696_n.jpeg)
Sanísimo Venezuela,"Venezuela-based company that produces almond and plant-based cheeses, among other plant-based products",Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Almond,Latin America,Venezuela,,Caracas,https://www.facebook.com/SanisimoVenezuela/,2014,,
Vegetalia,"Spain-based company that produces a variety of plant-based products, including vegetable protein and vegetable burgers for meat ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,"Wheat,Chickpea","Latin America,Europe",Spain,,Barcelona,http://www.vegetalia.com/,1986,,VEGETALIA-LOGO-2.png (https://dl.airtable.com/.attachments/31978d49131d5be4bb6318ca7ff5fc47/af5c9463/VEGETALIA-LOGO-2.png)
Aberyne,French company that produces premium plant-based foie gras.,Plant-based,Meat,End product formulation and manufacturing,"Other meat,Other",Duck,Cashew,Europe,France,,Biarritz,www.aberyne.com,2021,Mikel Abeberry,LOGHI ABERYNE 05_Tavola disegno 1 copia.png (https://dl.airtable.com/.attachments/a6bd195425699946e5b4fe289efbc150/a229a701/LOGHIABERYNE05_Tavoladisegno1copia.png)
Strive Nutrition Corp,"US based company that develops Strive Brand Plant-Based beverages enriched with Animal-Free Whey Protein, Alt Milk produced with Animal-Free Whey Protein and Sports Protein Shakes and Protein Waters produced with Animal-Free Whey Protein.  ","Fermentation-derived,Precision fermentation",Dairy,End product formulation and manufacturing,Milk,Other,Whey,"U.S. and Canada,Asia Pacific",United States,Kansas,Wichita,www.striveforbetter.com,2017,"Dennis, Janet and Austen Cohlmia ","TB-1000-E-SimplyTwist34-39e6cc78-53dd-4016-93e6-66efe211e123-60-.pdf (https://dl.airtable.com/.attachments/8af82c297bc0f235dc8fae75347b0bc9/342b179d/TB-1000-E-SimplyTwist34-39e6cc78-53dd-4016-93e6-66efe211e123-60-.pdf),TB-1000-E-SimplyTwist34-c6f0c061-f576-4bfe-bdf7-e9f1d2935143-96-.pdf (https://dl.airtable.com/.attachments/96d5a0abf9ed8ec09f708233aa6f6b6c/471b8f8c/TB-1000-E-SimplyTwist34-c6f0c061-f576-4bfe-bdf7-e9f1d2935143-96-.pdf)"
Art of Greens,Germany-based company that produces plant-based products for wholesale market of german restaurant and catering industries,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken,Pork,Fish,Shellfish","Soy,Wheat,Mushrooms",Europe,Germany,,Berlin,https://artofgreens.com/,,,Header-logo-new-1.png (https://dl.airtable.com/.attachments/02f46ecc9d9fb7ca0a31c1b6d96b3f83/bd02e4af/Header-logo-new-1.png)
