name,summary,link,Primary focus,Location,Founded,Business model,Protein category,Ingredients,Technology focus,End product application,Meat fish analogs
Walding,Clean. Tasty. Easy. Better. Have you tried our tree mushroom?,en.walding-foods.com,Food and beverages,Germany,,End-consumer brands & products,Plant-based,"Fungi, Mushroom",,Meat & fish,"Chicken, Poultry"
Sophie's Bionutrients,"UNLOCKING MACRO-NUTRIENTS AT THE MICRO-LEVEL!! Food Grade Protein from Microalgae is relatively a new and unheard of opportunity in alternative protein. The key challenges include, 1. to grow the protein at a cost low enough, and 2. to extract the protein to the purity that you can make it into plant milk and plant meat. We can do all that. We are developing a new sustainable plant-based protein out of microalgae. We have a proprietary strain of microalgae which can grow in a fermentation tank, be fed on various food waste, and could be harvested in just 3 days. Our microalgae has 60% of protein which has high quality essential amino acids profile, exceeding WHO requirements for protein products. This can be a sustainable food source due to, 1. Not much land mass is needed, and you can do it indoor (No deforestation), 2. 90%+ of the water can be recycled. Very little water is used. 3. Production cycle is fast, only 3-10 days, versus 45-65 days for soy, 1.5 year for beef. 4. The whole system can be setup near metropolitan area to cut down the needs for agriculture and transportation, addressing the ""food security"" and ""supply chain disruption"" issues facing the world today. 5. Our microalgae is fed with industrial food waste like spent grains, okara, and molasses. This is for circular economy and reduced cost. 6. More importantly, NO fertilizer, herbicide, antibiotic, or even growth hormone for the whole process. Truly healthy to the environment and human body.",sophiesbionutrients.com,Food and beverages,Singapore,2017,"End-consumer brands & products, Ingredients & inputs","Fermentation, Plant-based",Microalgae,"Biomass fermentation, Ingredient optimization",Meat & fish,
Provectus Algae,Provectus Algae is an Australian biotech startup specialising in the optimisation of Algae to produce high-value compounds for use in a wide array of industries and applications. Provectus Algae’s groundbreaking capabilities are enabled by a well-balanced fusion of its proprietary innovative technology and thorough knowledge of the unique biological traits of algae.,provectusalgae.com,Food and beverages,Australia,2017,"End-consumer brands & products, Ingredients & inputs",Plant-based,Algae,Ingredient optimization,Meat & fish,
Canadian Pacifico Seaweeds Ltd.,"CPS provides consultation and farmer support throughout all phases of farming development from site selection & design to deployment & maintenance. We believe in setting you up for success and ensuring that success from seed to sales; we buy wholesale directly from our farmer’s, and distribute the largest seaweed supply in BC. In addition to raw supply, we also offer a variety of locally made, premium kelp products",canadianpacificoseaweeds.com,Food and beverages,Canada,2018,Ingredients & inputs,Plant-based,Seaweed,"Crop development, Ingredient optimization",,
Peggs,"Meet Peggs: the vegan egg alternative made by chickpeas, not chicks that can be used for cooking & baking -- just like a real egg. We are on a mission to make food more sustainable, ethical, and healthy.",peggs.us,Food and beverages,United States,2020,End-consumer brands & products,Plant-based,Chickpea,,Eggs and egg products,
N.OVO,"A N.OVO é uma Foodtech que utiliza a tecnologia para reinventar produtos de origem animal utilizando apenas plantas. Sabemos que a alimentação é uma escolha e nosso propósito é justamente esse: oferecer uma alternativa 100% vegetal, deliciosa e inspirar nossos consumidores com #umjeitonovo de se alimentar. Mas mais do que isso: sabemos que somos todos responsáveis pelo futuro do planeta e que a escolha de tudo que consumimos, inclusive o que comemos, tem grande impacto nesta e nas futuras gerações. Por isso, somos parte de um movimento verde, positivo, inclusivo e sustentável. Acreditamos que toda mudança, ainda que pequena, é importante. Por isso, fazemos esse convite: que tal experimentar o N.OVO?",ovosmantiqueira.com.br,Food and beverages,Brazil,2020,End-consumer brands & products,Plant-based,Pea,,Eggs and egg products,
YUMGO,"We develop the YUMGO products, plant based alternatives to eggs.",en.yumgo.fr,Food and beverages,France,2019,End-consumer brands & products,Plant-based,Potato,,Eggs and egg products,
OsomeFood,"Adopting the philosophy and practices of holding company, Wholesome Savour, OsomeFood is the world's first nutrition-focused, plant-based functional food. We believe in harnessing the combined powers of superfood ingredients without messing with their natural benefits, to create food for maximum nutrition and optimal absorption that fully nourishes and revitalises the body.",osomefood.com,Food and beverages,Singapore,2020,End-consumer brands & products,Plant-based,"Almond, Myco-protein, Potato",,"Eggs and egg products, Meat & fish",Fish
Egg'n'up,"Egg’n’up is a young and vibrant Food-Tech company which developing EGG’N’UP a sustainable alternative egg product using a proprietary plant- based ingredients to get the egg’s unique taste, texture, appearance and functionality properties without compromising on taste and its nutritional values.",,Food and beverages,Israel,2021,End-consumer brands & products,Plant-based,Cellulose,,Eggs and egg products,
NEW FULCRUM AUSTRALIA,"We are committing to provide innovative solutions to manufacturers in the cosmetic, home care, and food industries.",newfulcrumaustralia.com,,Australia,,Ingredients & inputs,,Agave,,,
Aqua Cultured Foods,AquaCultured Foods has developed a novel new tech that creates an alternative seafood option through the use of fermentation. This tech should launch us forward as a first mover in the refrigerated set as an alt seafood analog to Beyond Meat and Impossible Foods. Creating the first whole muscle seafood alternative created through fermentation.,aquaculturedfoods.com,Food and beverages,United States,2020,End-consumer brands & products,Fermentation,Fungi,,Meat & fish,"Fish, Seafood"
Magellan Life Sciences,"Our plant-based, clean technology is based on the concept of a biomimetic botanical fruit, with a protective coating surrounding a more delicate, nutritive, and delicious core.",magellanlifesciences.com,Food and beverages,United Kingdom,2014,"Contract manufacturing, Ingredients & inputs",Plant-based,,"Bioprocess design, Ingredient optimization",,
"Hainan Zhongxin Wanguo Chemical Co., Ltd.","WG chemical was established in 2010, focusing on providing high-quality raw materials and ingredients for customers all of the world with the field in natural and functional
WG Chemical is one part of ZXCHEM , In this overview of ZXCHEM's activity you can discover our range of available ingredients, the techniques we have mastered, our global sales network, and more. .
WG Chemical keep strong relationship with multi joint laboratory and GMP 10 million standard factory, with many international famous companies and research institutions formed strategic cooperation, Our experts deploy the most sophisticated, effective technologies in order to offer you top-quality, healthy, original products of natural origin.
WG chemical invite you to unleash your great imagination as you read these pages devoted to the many wonderful experience in the world around us.",hnwgchem.en.alibaba.com,Food and beverages,China,2010,Ingredients & inputs,Plant-based,Other,Ingredient optimization,,
Gremount International Company Limited,"Specialized distributor of exporting and importing energy drink ingredients, additives, chemicals pharmaceuticals, flavors, and perfumes",gremount.com.cn,Food and beverages,China,,Ingredients & inputs,Plant-based,"Pea, Potato, Rice, Soy, Wheat",Ingredient optimization,Other,
"Hefei TNJ Chemical Industry Co., Ltd.","TNJ is a chemical company since 2001. Our specialization, your Confidence ! We keep committing to meet the needs of both market and customers with our innovative technology, high stable quality products and excellent service. We always combine economic success with high sense of social responsibility and environmental protection. To meet the needsof customers, to enrich the value of all TNJ staff, to shoulder more and more social responsibility...these are our unremitting pursuit. We believe and are to make true Better Chemicals, Better Future!",tnjchem.com,Food and beverages,China,2001,Ingredients & inputs,Plant-based,Other,Ingredient optimization,,
NextFerm,"NextFerm (TASE: NXFR) is an innovative food-tech company developing improved microorganisms
using unique non- GMO proprietary technology.
NextFerm's products are used in food, dietary supplements, brewers and animal feed markets.
Managed by a team of industry-leading professionals, NextFerm is disrupting the food industry through biotech innovation.
The company is based in Yokneam, Israel’s leading hub for biotech companies.",nextferm.com,"Animal feed and pet food, Food and beverages",Israel,2013,Ingredients & inputs,Fermentation,Yeast,"Host strain development, Ingredient optimization",,
Euroduna Food Ingredients,Your Partner for food Ingredients,euroduna-food.com,Food and beverages,Germany,1996,Ingredients & inputs,Plant-based,"Hemp, Pea, Rice, Soy, Tapioca, Wheat",Ingredient optimization,Meat & fish,
Le Papondu,"Le Papondu constitue l'ingrédient qui permet à tous d'avoir accès à une alimentation simple à la fois respectueuse de votre santé et de vos valeurs. C'est une alternative à l’œuf de poule qui s'utilise aussi facilement qu'un œuf puisqu'il est prêt-à-l'emploi. Composé d'ingrédients d'origine végétale et minérale, il convient à toutes personnes intolérantes/allergiques aux œufs mais également aux végétaliens. Sa recette ? Une poignée de folie, une cuillère à soupe d'ambition, une profonde étude de la nutrition et un saupoudrage de bonne humeur ! Les Merveillœufs ont été développés par deux ingénieures en biologie passionnées de food et soucieuses de la santé de tous.",papondu.fr,Food and beverages,France,2019,End-consumer brands & products,Plant-based,,,Eggs and egg products,
Pura,Mycoprotein production and fermentation to enhance plant-based foods,pura.mogu.bio,Food and beverages,Italy,2015,Ingredients & inputs,Fermentation,"Fungi, Mycelium",Ingredient optimization,,
H & A Canada,"Serves the food, nutrition, and pet food industries with high quality ingredients and on-time delivery",hacanada.com,"Animal feed and pet food, Food and beverages",Canada,1993,Ingredients & inputs,Plant-based,"Pea, Rice, Soy, Sunflower",Ingredient optimization,"Dairy, Meat & fish",
Calpro Foods Pvt. Ltd.,Manufactures and markets bakery ingredients,calprofoods.com,Food and beverages,India,,Ingredients & inputs,Plant-based,Wheat,Ingredient optimization,Ice-cream and desserts,
BioTork,"BioTork is a biotechnology company founded in 2008 that is dedicating its efforts in developing microbial strains and bioconversion processes for the purpose of producing environmentally-friendly biochemicals. These biochemical commodities, such as omega-3 oil, biofuels, and other eco-friendly compounds, are derived from renewable feedstock using a continuous culture technology.",biotork.com,Food and beverages,United States,2008,Ingredients & inputs,Fermentation,,"Host strain development, Ingredient optimization",,
América Pampa,"Somos una empresa familiar de capitales Argentinos, radicados en la ciudad de América, Provincia de Buenos Aires.
En 2009 comenzamos a procesar porotos soja obteniendo productos para consumo humano, de alto valor agregado a través de métodos físicos sin el agregado de químicos, conservando las características nutricionales de nuestra materia prima.
En un predio de más de 2500 m2 diseñados y construidos para la producción de alimentos para consumo humano, tenemos un equipo de trabajo de más de 30 personas y procesamos actualmente 20.000 toneladas de materia prima al año.
Integramos la cadena de producción desde la originación de la materia prima hasta el producto terminado.
A principios de 2012 certificamos la norma FSSC 22000:2010 referente a Inocuidad de Alimentos, a traves de TUV.",americapampa.com,Food and beverages,Argentina,,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,Other,
Hazera Genetics,"Hazera is a global leader in the seed industry. Hazera brings expertise commitment and support, combining decades of experience with state-of-the-art technology. Hazera breeds, develops, produces and markets varieties and seeds in a wide range of vegetable crops around the world.
Worldwide Presence
Hazera’s headquarters are situated in Israel and in The Netherlands, with subsidiaries in 11 countries and an extensive distribution network providing services in over 120 additional markets. This worldwide presence enables us to be close to our customers. It allows us to offer technical support and to anticipate and respond to local needs by creating varieties that fit specific climates, growing conditions and market requirements.
Committed to Innovation
Our ethos is to cultivate progress through dedicated research. Continuously innovating, we combine modern science with traditional breeding methods to create top quality and high yielding varieties. Hazera works directly with leading international research institutions, applying the latest science to generate better solutions for customers worldwide. Our processes and laboratories are certified in accordance with the highest quality standards, including ISO and NAL.
Focus on the Grower
Growers are at the heart of everything we do. Our experts actively engage with growers to evaluate their needs, assisting with variety selection and providing guidance and support throughout the entire crop cycle. This hands-on approach adds extra value for growers, helping them to maximize crop potentials with minimum inputs leading to longer term prosperity.
Member of the Limagrain Group
Hazera is part of the Limagrain Group, an international agri-business based in France. Limagrain’s vegetable seed division is the first largest company in the industry.",hazera.com,Food and beverages,Israel,1939,Ingredients & inputs,Plant-based,,Crop development,,
Gujarat Ambuja Exports Ltd.,"Gujarat Ambuja Exports Limited (GAEL) is principally involved in agro-processing and has focus on exports and indigenous market, catering to food, pharmaceutical
& feed industry, competing in the domestic and global market.
The Mission:
We render Ingredients to various Food, Pharma and Animal Nutrition Industries
Globally. By persistent adaptation of contemporary technology and International
Quality Standards we are focused on Nurturing and sustainably strengthening the
entire Ingredients Supply Chain in a secured and Responsible manner. At Gujarat
Ambuja Exports Limited, Quality is a state of mind",ambujagroup.com,Food and beverages,India,1991,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,Meat & fish,
Ingredion,"Ingredion is a global ingredient solutions company making sweeteners, starches and unique ingredients from plant sources such as corn, tapioca, rice, sago and potato. We provide solutions and innovate for almost 60 industry sectors across more than 40 countries.
Every day, we bring our skill, creativity, and passion together to deliver ingredient solutions that enhance people’s lives. We are innovators who combine the power of technology with the best of nature to delight customers and consumers. We hold ourselves to the highest standards in ethics, safety, quality, and sustainability. Unlocking the potential of people, nature, and technology to make life better is what drives us in every aspect of our business
As a Fortune 500 global provider of ingredient solutions, Ingredion offer great careers across various functions. If you are curious, confident, and believe in the power of game-changing ideas, we want you to make us part of your career formula.
Successful: Grow with a leader. Ingredion is FORTUNE 500 company with consistently strong financial performance.
Responsible: Thrive with an organization that lives its values. We drive relentlessly toward sustainable practices and responsible operations wherever we do business.
Meaningful: Be proud of where you work and what you do. Ingredion enables innovation in foods, beverages and consumer products that touch lives around the world.
To learn more about our opportunities, please visit www.ingredion.com/careers",ingredion.com,Food and beverages,United States,1906,Ingredients & inputs,Plant-based,Pea,Ingredient optimization,"Burger, Meat & fish, Minced/Ground meat, Nuggets","Beef, Poultry"
The Scoular Company,"A company with over a century of experience and more than $4 billion in sales, Scoular provides diverse supply chain solutions for the grain, animal feed, pet food, aquaculture and food industries. Our 1000+ employees are engaged in buying, selling, storing, and handling grain and ingredients as well as managing transportation and logistics worldwide.
Headquartered in Omaha, Nebraska, with facilities and offices across North America and Southeast Asia and doing business around the world.
We’re a company full of problem-solvers ready to share our innovative ideas and make an impact.  Visit www.Scoular.com to learn more about how we can define what’s possible together.",scoular.com,"Animal feed and pet food, Food and beverages",United States,1892,Ingredients & inputs,Plant-based,"Barley, Flaxseed, Lentils, Pea, Soy, Wheat","Feedstocks, Ingredient optimization",Other,
Equinom,"Equinom is a computational breeding company that is revolutionizing the seed industry by introducing a new model of seed providers. We are creating a gene-bank where food developers can find ingredients that meet exact specification, provided these exist in nature.
Using our technology we create multi-trait products, previously unachievable and revive complex multi-gene traits that were lost in years of breeding. Our technology cuts time to market by half and offers breeding that is 10 times more precise than any other method. Watch our film to learn more about how we do this.
To date Equinom offers the food industry pea and cowpea varieties with 50% more protein per sq. m, with chickpea, mung bean lentil and fava in different stages of development, as well as sesame varieties with 45% more oil per sq.m that can be harvested mechanically.
Equinom's varieties come with nutritional values that are higher than the standard, and have improved functional properties in a range that is provided by mother nature (yes, we are strictly non-GMO)
Visit our website to learn more about our technology and products. www.equi-nom.com",equi-nom.com,Food and beverages,Israel,2012,Ingredients & inputs,Plant-based,"Pea, Sesame, Soy",Crop development,,
Danone,"Danone is a leading multi-local food and beverage company building on health-focused and fast-growing categories in 3 businesses: Essential Dairy & Plant-Based products, Waters and Specialized Nutrition. With its ‘One Planet. One Health’ frame of action, which considers the health of people and the planet as intimately interconnected, Danone aims to inspire healthier and more sustainable eating and drinking practices. To accelerate this food revolution and create superior, sustainable, profitable value for all its stakeholders, Danone has defined nine 2030 Goals, and paved the way as the first listed company to adopt the “Entreprise à Mission” status in France.
With a purpose to bring health through food to as many people as possible, and corresponding social, societal and environmental objectives set out in its articles of association, Danone commits to operating in an efficient, responsible and inclusive manner, in line with the Sustainable Development Goals (SDGs) of the United Nations. By 2025, Danone aims to become one of the first multinational companies to obtain B CorpTM certification.
With more than 100,000 employees, and products sold in over 120 markets, Danone generated €25.3 billion in sales in 2019. Danone’s portfolio includes leading international brands (Actimel, Activia, Alpro, Aptamil, Danette, Danio, Danonino, evian, Nutricia, Nutrilon, Volvic, among others) as well as strong local and regional brands (including AQUA, Blédina, Bonafont, Cow & Gate, Horizon Organic, Mizone, Oikos, Prostokvashino, Silk, Vega). Listed on Euronext Paris and present on the OTCQX market via an ADR (American Depositary Receipt) program, Danone is a component stock of leading sustainability indexes including the ones managed by Vigeo Eiris and Sustainalytics, as well as the Ethibel Sustainability Index, the MSCI ESG Indexes, the FTSE4Good Index Series, Bloomberg Gender Equality Index, and the Access to Nutrition Index.",danone.com,Food and beverages,France,1919,"Contract manufacturing, Ingredients & inputs",Plant-based,"Coconut, Oat, Rice, Soy",,"Dairy, Milk, Yogurt",
Puris,"PURIS cultivates a spectrum of pure, plant-based foods and ingredients from U.S.-based organic and non-GMO sources. Our end-to-end system ensures a wholesome journey from seed to solution.
PURIS™ is a family-owned company founded in 1985 in Oskaloosa, Iowa. Built with intention over 30 years, our plant-based food system benefits every link in the chain of production: flavorful and nutritious choices for people, profitable opportunities for growers, flexible ingredients for food makers, and practices that nourish soil, the environment, and life on earth.
PURIS unites satisfying flavor and texture with some of the highest protein of any plant-based food on the planet. A sustainable alternative to GMOs and animal proteins, our products feed health and peace of mind: 100% vegan, gluten-free, dairy-free, allergen-free, and mystery-free.
A safe and secure food supply is made in the USA. Our model is grounded in 30 years of non-GMO natural breeding and sustained by an alliance of domestic growers and partners who share our high standards.
We are the exclusive producer of PURIS™ Pea protein, starches, fibers and other non-GMO ingredients from soy, pulses, lentils and corn. Our endlessly versatile foods are a nourishing basis for every meal, food application and trend — from powders and mixes to energy bars and cereals.",purisfoods.com,Food and beverages,United States,1985,Ingredients & inputs,Plant-based,"Chickpea, Lupine, Pea","Crop development, Ingredient optimization",Meat & fish,
Mori-Nu,Makes tofu and soy puree,morinu.com,Food and beverages,United States,,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,Tofu,
"CBH Qingdao Co., Ltd.","CBH has been operating since the year of 2002 by business professionals with strong industrial background and network throughout the country as well as major parts of the world.
In the past 18 years we have very much focused on the food and feed raw materials and ingredients in particular the feed amino acids (Lysine, Threonine, Methionine and Tryptophan),
Protein, Vet medicines (APIs and premixes etc.), vitamins and phosphates.
We are not only working with leading brands of the relative industries, but also have our own production facilities for various products category.",cbhcn.com,Food and beverages,China,2002,Ingredients & inputs,Plant-based,"Pea, Wheat","Feedstocks, Ingredient optimization",,
"MTC Industries, Inc.","MTC is a science and technology based Ingredients Company established in 1994. We are dedicated to the research, development, processing, distribution and marketing of diverse branded ingredients and bulk value added products for human health and well-being. MTC markets and distributes the following 12 categories’ ingredients: Vitamins, Amino Acids, Herbal/Organics, Sports/Energy, Joint Health, GI/Weight Loss, Sweeteners, Excipients, Natural Oils, Probiotics, Specialties, OTC/APIs, We also market and distribute Bulk Value Added Products.
During the past over 25 years, we have developed and produced a wide range of new ingredients for our customers in the food, beverage, nutraceutical, cosmetic and pet food industries. We provide our customers with full services to satisfy any special demands. Because of our incredible quality assurance, full technical service, regulatory support, on-time delivery and competitive prices, our products have been well received by most reputable companies in the US. Currently we have more than 200 corporative accounts worldwide with 90% of top end user customers.",mtcindustries.com,"Animal feed and pet food, Food and beverages",United States,1994,Ingredients & inputs,Plant-based,"Pea, Pumpkin seeds, Rice, Spirulina",Ingredient optimization,,
"Linyi Shansong Biological Products Co., Ltd","Linyi Shansong Biological products co.,ltd is one of the largest Non-Gmo soy protein production leading company in china. it is engaged in R&D,manufacture and marketing.
Main product: Soy protein isolate, concentrated soy protein, Textured soy protein, soy peptide
Supply ability: 200, 000 tons per year",shansong.com,Food and beverages,China,1995,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,"Dairy, Meat & fish",
Nexcel Natural Ingredients,"Nexcel Natural Ingredients is a leader in providing a large variety of bulk non-gmo and organic vegetable oils to the food manufacturing trade. Nexcel provides non-gmo and organic soybean oil, canola oil, sunflower oil, flaxseed oil, safflower oil, avocado oil and grapeseed oil. Products are available in bulk tankers, totes and drums. Please contact us for your natural, non-gmo or organic vegetable oil needs!",nexcelfoods.com,Food and beverages,United States,2000,Ingredients & inputs,Plant-based,"Canola, Soy, Sunflower",Ingredient optimization,Oils and fats,
Plantedit,"Our mission is to produce non-transgenic, regulatory free, sustainable, consumer oriented genome edited plant products. PLANTeDIT is the first biotech company dedicated to use patented next generation genome editing tools CRISPR/Cas9 RNPs® from our key collaborator Toolgen (http://toolgen.com/?lang=en) with our transformation technology for efficient direct delivery and swift regeneration of genome edited plants. Our mission is also to revolutionize plant transformation technology with our innovative, universal, cost effective, swift transformation system applicable to broad a range of crop species for direct delivery of genome editing tools. Further, PLANTeDIT aims to develop highly pure mammalian protein and human drugs at cost effective price using genome edited plant platform.",plantedit.com,Food and beverages,Ireland,2017,Ingredients & inputs,Plant-based,"Oilseeds, Soy",Ingredient optimization,Oils and fats,
AlgaVia,"AlgaVia® Whole Algae Ingredients is today’s answer to a more sustainable, healthier tomorrow. Our innovative line of protein rich and lipid rich algae powders are designed to help tear down barriers to achieving meaningful, healthy food innovations.
The future belongs to those who step forward with profoundly simple ideas, back them with sound research and demonstrate the means and mettle to see them through to fruition. AlgaVia® Whole Algae Ingredients is committed to creating innovations that will shape the future of food.",algavia.com,"Dietary supplements and substitutes, Food and beverages",United States,2003,Ingredients & inputs,"Fermentation, Plant-based","Algae, Chlorella, Microalgae",Ingredient optimization,,
Has Algae,"Has Algae aims to alleviate common nutritional deficiencies associated with plant-based diets, especially omega-3 fatty acids. We want earth-conscious global citizens to be able to reduce or eliminate meat in their diets without facing limitations.",hasalgae.com,Food and beverages,Australia,2019,"End-consumer brands & products, Ingredients & inputs",Plant-based,"Algae, Microalgae",,,
Protebio,Vegetarian protein powder,protebio.com,Food and beverages,Spain,,Ingredients & inputs,Plant-based,,Ingredient optimization,Other,
BETTEC B. V.,"Mit der Marke und den Produkten von Colourfood Professional bieten wir von der BETTEC B.V. unseren Kunden aus der Gastronomie, dem Foodservice und der Gemeinschaftsverpflegung mit unseren färbenden Lebensmitteln ein Höchstmaß an Innovation, Qualität und Vertrauen.
Als Pionier färbender Lebensmittel stellen wir aus Obst, Gemüse und essbaren Pflanzen wie der Spirulina-Alge brillante Farben her, um Lebensmittel – wie Eis, Desserts, Backwaren, aber auch Suppen, Saucen oder Getränke – komplett natürlich und unbedenklich zu färben und in der Anwendung 100% Clean Label zu arbeiten.
Mit unseren innovativen Produkten bieten wir Antworten auf aktuelle Trends, Fragen und Anforderungen, die die Lebensmittelbranche umtreiben: Nachhaltigkeit, Transparenz und Clean Label sind keine kurzfristigen Modeerscheinungen, sondern haben sich längst im weltweiten Markt für Lebensmittel etabliert. Das trifft für den Einzelhandel genauso zu wie für den Foodservice, die Gastronomie und die Gemeinschaftsverpflegung. Viele Konsumenten stehen dem Thema Lebensmittelerzeugung misstrauisch bzw. kritisch gegenüber. Wir sehen es daher als erforderlich an, echte Transparenz zu zeigen: bei den Herstellungsprozessen, der Herkunft der Zutaten und der Rückverfolgbarkeit entlang der Lieferketten.",colourfood.de,Food and beverages,Netherlands,,Ingredients & inputs,Plant-based,"Apple, Beets, Carrots, Peppers, Spirulina",Ingredient optimization,Other,
Dutch Organic International Trade,"DO-IT is a leading company with import and export of 100% Organic Food Ingredients and Consumer Goods.
We believe we can contribute towards a sustainable world through organic farming and trading in organic commodities and consumer brands",organic.nl,Food and beverages,Netherlands,1991,Ingredients & inputs,Plant-based,"Fava bean, Pea, Rice, Soy, Wheat",Ingredient optimization,Meat & fish,
"Austrade, Inc. Food Ingredients","Austrade Inc. is a North American supplier of always Non-GMO and mostly Organic ingredients, specializing in natural sweeteners, emulsifiers, starches, plant proteins, and organic oils. For over 20 years, Austrade Inc. has been an industry leader, supplying non-GMO sweeteners and sunflower lecithin and is an innovator in the field of clean label plant proteins, offering one of the largest assortments in North America.
Utilizing warehouse locations across the USA, Austrade Inc. supplies natural wholesale ingredients to businesses in the food processing, animal nutrition, cosmetic and pharmaceutical industries.
Austrade Inc.’s mission is to provide customers with top quality ingredients, service and product expertise while continuing to bring new and ground breaking solutions to the industry",austradeinc.com,Food and beverages,United States,1997,Ingredients & inputs,Plant-based,"Pea, Pumpkin seeds, Rice, Sunflower, Wheat",Ingredient optimization,,
NRGene,"NRGene is a genomic big data company that support the global breeding industry boost the development of new plant and animal varieties by developing cutting edge predictive computational methods. NRGene's proprietary algorithms and software tools serve the rapidly expanding genomics market and replace the long and expensive processes of random field selection with big data based predictions. NRGene’s products and services have been confirmed by the top breeding entities world-wide and were proved to be able analyze the most genetically complex and diverse species including wheat and maize. As a result, NRGene's products have been quickly adopted by leading seed companies, academia and NGOs worldwide.
NRGene has already sold software and services to some of the largest global commercial breeding entities and to the leading academic institutions worldwide, and is expecting to rapidly grow its sales to those sectors.
The revolution in high-throughput sequencing technologies has enabled faster and cheaper collection of massive amounts of DNA sequence data. However, integrating and using the data to accelerate breeding practices remains the key challenge. NRGene’s GenoMAGICTM platform analyzes very large sets of DNA data and uniquely combines it with the organism's performance data. For example, this platform detects ""genetic recipes"" to optimize the genetic makeup of plants within specific breeding programs. Such tailor-made ""recipes"" enable seed companies to: a) Quickly detect multiple favorable individuals that may be further selected through a conventional breeding process, b) Expedite the time to market of new varieties, c) Identify in vivo validated genes for given traits through mass genomic analyses of breeding populations, and d) Use the identified genes to drive development of new products via GM. NRGene has demonstrated the ability to decipher even the most complex genomes and discover the genomic elements that control commercially important traits.",nrgene.com,Food and beverages,Israel,2009,Ingredients & inputs,Plant-based,Hemp,Crop development,,
Vivax Bio,"VIVAX BIO, LLC, based in New York, and its Moscow, Russia, R&D subsidiary, 3D Bioprinting Solutions, focus on 3D bioprinting and work on the whole range of the hardware, materials, technologies, and products comprising the 3D bioprinting industry. We strongly believe that at this stage of the industry development, the synergistic value of integrating the biological and the engineering sides of our business exceeds the potential advantages of specialization.
Our product pipeline – from the earliest stages of R&D to commercial manufacturing - includes 3D bioprinters based on different technologies (consistently rated among the top bioprinters in the world) and various tissue and organ constructs. We had printed a murine thyroid gland construct and successfully implanted it into laboratory animals. The company continues working with human cells creating 3D bioprinted tissues and organoid models for drug discovery and disease modeling as a superior alternative to traditional 2D models. At the end of 2018, our proprietary 3D bioprinter, OrganAut, was launched into space on board the International Space Station and performed formative biofabrication of 3D tissue and organ constructs in microgravity, opening for us, among other things, the opportunity to further expand our business to science (B2S) services.
In 2018, we started to adapt our existing technologies for cellular agriculture applications. Framework agreements have been signed with several leading startups in the field of clean meat and now we are to carry out several joint experiments using muscle cells of various species.",vivaxbio.com,Food and beverages,United States,2013,"Infrastructure & equipment, Ingredients & inputs",Cultivated,,"Bioprocess design, Scaffolding and structure",,
Anchor Ingredients,"Anchor Ingredients Co. sources and supplies ingredients to the food and pet food industries – while delivering a whole lot more. Beginning with a mantra that taking care of our customers is our first priority. Always.
We’re experienced industry veterans. We understand our customers and the pressures they face. So we built this company to meet their needs. That means being available, being agile and flexible, and putting customers’ interests first, knowing that our success depends on theirs. It means continually expanding our footprint to ensure on-time delivery, without compromise. It means leveraging our partner’s origination expertise and processing assets. It means staying on top of industry trends and anticipating needs. And it means standing behind every ingredient in our broad portfolio.",anchoringredients.com,"Animal feed and pet food, Dietary supplements and substitutes, Food and beverages",United States,2015,Ingredients & inputs,Plant-based,"Barley, Buckwheat, Cereals, Chickpea, Flax, Fruits, Lentils, Nuts, Oat, Oilseeds, Pea, Pulses, Sunflower, Vegetables",,,
Biocellion,"Biocellion SPC's mission is to increase productivity in life science R&D while also reducing its impact on living systems and the environment. We provide software services to life science companies wanting to transition from laboratory to virtual experiments. Our Biocellion simulation software scales to personal, cloud, and supercomputer-class computers and is capable of simulating multiscale living system models at cell-resolution and macroscopic scale. Our products overcome a computational gap that otherwise prevents predictive models developed by research scientists from being used in virtual experiments to predict outcomes in industry.",biocellion.com,Food and beverages,United States,2013,"Infrastructure & equipment, Ingredients & inputs",Cultivated,,Bioprocess design,,
CellulaREvolution,"CellulaREvolution’s mission is to be the leader in continuous cell culturing technologies, providing our clients with highly sophisticated and innovative products.",cellularevolution.co.uk,Food and beverages,United Kingdom,2019,"End-consumer brands & products, Infrastructure & equipment, Ingredients & inputs",Cultivated,,"Bioprocess design, Cell culture media",,
Brabender,"Brabender® GmbH & Co. KG was founded in 1923 as Brabender Elektromaschinen GmbH by Carl Wilhelm Brabender. Today, the Brabender® group, which has generated a steady growth in recent years, employs about 400 people.
As a leading supplier, Brabender® develops, manufactures and distributes instruments and equipment for the testing of material quality and physical properties in all areas of research, development and production, worldwide, for the two application areas of Food and Plastics.
Development and production are very highly integrated at Brabender®. Therefore, the family run group can guarantee ""Made in Germany"" quality, because the research, development and production of the instruments take place exclusively in Germany.
At the company's headquarters in Duisburg, there is a technical applications laboratory available in which customers can also test the instruments themselves.
The Group has a presence in over 130 countries with around 100 distributors and an export share of about 85%. In addition to Europe, the major export regions are the American and Asian continent.",cwbrabender.com,Food and beverages,Germany,1923,"Infrastructure & equipment, Ingredients & inputs",Plant-based,,Extrusion,Meat & fish,
